file_name,match_type,data,teamA,teamB,who_played_first,who_played_second,neutral_venue,city,home_ground_of_team,venue,winner,winner_by_runs,winner_by_wickets,toss_winner,toss_winner_decided_to,umpire_1,umpire_2,player_of_match
2007-01-26_ODIAusEng.yaml,ODI,2007-01-26,Australia,England,England,Australia,no,NA,Australia,Adelaide Oval,Australia,NA,9,England,bat,SJ Davis,IL Howell,MG Johnson
2007-01-27_ODIIndWes.yaml,ODI,2007-01-27,India,West Indies,India,West Indies,no,Chennai,India,MA Chidambaram Stadium- Chepauk,West Indies,NA,3,West Indies,field,BF Bowden,SL Shastri,MN Samuels
2007-01-28_ODIAusNew.yaml,ODI,2007-01-28,Australia,New Zealand,Australia,New Zealand,no,Perth,Australia,Western Australia Cricket Association Ground,Australia,8,NA,Australia,bat,Asad Rauf,SJA Taufel,RT Ponting
2007-01-30_ODIEngNew.yaml,ODI,2007-01-30,England,New Zealand,New Zealand,England,yes,Perth,none,Western Australia Cricket Association Ground,New Zealand,58,NA,New Zealand,bat,Asad Rauf,SJ Davis,L Vincent
2007-01-31_ODIIndWes.yaml,ODI,2007-01-31,India,West Indies,India,West Indies,no,Vadodara,India,Indian Petrochemicals Corporation Limited Sports Complex Ground,India,160,NA,West Indies,field,BF Bowden,AM Saheba,SR Tendulkar
2007-02-02_ODIAusEng.yaml,ODI,2007-02-02,Australia,England,England,Australia,no,NA,Australia,Sydney Cricket Ground,England,92,NA,England,bat,DJ Harper,IL Howell,EC Joyce
2007-02-02_ODIBerCan.yaml,ODI,2007-02-02,Bermuda,Canada,Canada,Bermuda,yes,Nairobi,none,Gymkhana Club Ground,Canada,56,NA,Bermuda,field,DB Hair,TH Wijewardene,JM Davison
2007-02-04_ODIAusNew.yaml,ODI,2007-02-04,Australia,New Zealand,New Zealand,Australia,no,NA,Australia,Melbourne Cricket Ground,Australia,NA,5,New Zealand,bat,Asad Rauf,SJ Davis,RT Ponting
2007-02-04_ODIBerNet.yaml,ODI,2007-02-04,Bermuda,Netherlands,Bermuda,Netherlands,yes,Nairobi,none,Ruaraka Sports Club Ground,Netherlands,NA,8,Netherlands,field,Shahul Hameed,TH Wijewardene,RN ten Doeschate
2007-02-04_ODIKenSco.yaml,ODI,2007-02-04,Kenya,Scotland,Scotland,Kenya,no,Nairobi,Kenya,Gymkhana Club Ground,Scotland,77,NA,Scotland,bat,GAV Baxter,DB Hair,RM Haq
2007-02-04_ODISouPak.yaml,ODI,2007-02-04,South Africa,Pakistan,South Africa,Pakistan,no,Centurion,South Africa,SuperSport Park,South Africa,164,NA,Pakistan,field,RE Koertzen,PD Parker,JH Kallis
2007-02-05_ODIKenCan.yaml,ODI,2007-02-05,Kenya,Canada,Kenya,Canada,no,Nairobi,Kenya,Jaffery Sports Club Ground,Kenya,158,NA,Kenya,bat,R Dill,TH Wijewardene,TM Odoyo
2007-02-06_ODIEngNew.yaml,ODI,2007-02-06,England,New Zealand,England,New Zealand,yes,Brisbane,none,Brisbane Cricket Ground- Woolloongabba,England,14,NA,England,bat,DJ Harper,IL Howell,PD Collingwood
2007-02-07_ODISouPak.yaml,ODI,2007-02-07,South Africa,Pakistan,Pakistan,South Africa,no,Durban,South Africa,Kingsmead,Pakistan,141,NA,Pakistan,bat,SA Bucknor,BG Jerling,Younis Khan
2007-02-08_ODIIndSri.yaml,ODI,2007-02-08,India,Sri Lanka,Sri Lanka,India,no,Kolkata,India,Eden Gardens,no result,NA,NA,India,field,SL Shastri,SJA Taufel,NA
2007-02-09_ODIAusEng.yaml,ODI,2007-02-09,Australia,England,Australia,England,no,NA,Australia,Melbourne Cricket Ground,England,NA,4,Australia,bat,Asad Rauf,DJ Harper,PD Collingwood
2007-02-09_ODISouPak.yaml,ODI,2007-02-09,South Africa,Pakistan,Pakistan,South Africa,no,Port Elizabeth,South Africa,St George's Park,no result,NA,NA,Pakistan,bat,SA Bucknor,RE Koertzen,NA
2007-02-11_ODIAusEng.yaml,ODI,2007-02-11,Australia,England,England,Australia,no,NA,Australia,Sydney Cricket Ground,England,34,NA,England,bat,SJ Davis,IL Howell,NA
2007-02-11_ODIIndSri.yaml,ODI,2007-02-11,India,Sri Lanka,Sri Lanka,India,no,Rajkot,India,Madhavrao Scindia Cricket Ground,Sri Lanka,5,NA,India,field,SL Shastri,SJA Taufel,KC Sangakkara
2007-02-11_ODISouPak.yaml,ODI,2007-02-11,South Africa,Pakistan,Pakistan,South Africa,no,Cape Town,South Africa,Newlands,South Africa,NA,10,South Africa,field,BG Jerling,RB Tiffin,SM Pollock
2007-02-14_ODIIndSri.yaml,ODI,2007-02-14,India,Sri Lanka,Sri Lanka,India,no,Margao,India,Nehru Stadium- Fatorda,India,NA,5,Sri Lanka,bat,AM Saheba,SJA Taufel,Z Khan
2007-02-14_ODISouPak.yaml,ODI,2007-02-14,South Africa,Pakistan,Pakistan,South Africa,no,Johannesburg,South Africa,New Wanderers Stadium,South Africa,NA,9,Pakistan,bat,RE Koertzen,RB Tiffin,SM Pollock
2007-02-16_ODINewAus.yaml,ODI,2007-02-16,New Zealand,Australia,Australia,New Zealand,no,Wellington,New Zealand,Westpac Stadium,New Zealand,NA,10,New Zealand,field,Aleem Dar,BF Bowden,SE Bond
2007-02-17_ODIIndSri.yaml,ODI,2007-02-17,India,Sri Lanka,Sri Lanka,India,no,Visakhapatnam,India,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,India,NA,7,India,field,AM Saheba,SJA Taufel,LPC Silva
2007-02-18_ODINewAus.yaml,ODI,2007-02-18,New Zealand,Australia,Australia,New Zealand,no,Auckland,New Zealand,Eden Park,New Zealand,NA,5,New Zealand,field,Aleem Dar,AL Hill,LRPL Taylor
2007-02-20_ODINewAus.yaml,ODI,2007-02-20,New Zealand,Australia,Australia,New Zealand,no,Hamilton,none,Seddon Park,New Zealand,NA,1,Australia,bat,Aleem Dar,GAV Baxter,ML Hayden
2007-03-13_ODIWesPak.yaml,ODI,2007-03-13,West Indies,Pakistan,West Indies,Pakistan,no,Jamaica,West Indies,Sabina Park- Kingston,West Indies,54,NA,Pakistan,field,BF Bowden,SJA Taufel,DR Smith
2007-03-14_ODIAusSco.yaml,ODI,2007-03-14,Australia,Scotland,Australia,Scotland,yes,St Kitts,none,Warner Park- Basseterre,Australia,203,NA,Scotland,field,SA Bucknor,EAR de Silva,RT Ponting
2007-03-15_ODIBerSri.yaml,ODI,2007-03-15,Bermuda,Sri Lanka,Sri Lanka,Bermuda,yes,Trinidad,none,Queen's Park Oval- Port of Spain,Sri Lanka,243,NA,Sri Lanka,bat,DJ Harper,IL Howell,DPMD Jayawardene
2007-03-15_ODIIreZim.yaml,ODI,2007-03-15,Ireland,Zimbabwe,Ireland,Zimbabwe,yes,Jamaica,none,Sabina Park- Kingston,no result,NA,NA,Zimbabwe,field,IJ Gould,BG Jerling,JP Bray
